video_id,video_title,author,text,likes
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@My_yt-l5t,Not going to lie Pepsi's better,2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@sakibarafat4169,🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🤛🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Raiyan1093,"Coca-cola just turned off the comment section of ""This is my coke"" video. So I am gonna comment my comment in every video I can.
We, the Bangladeshi people, residents of a third world country, conducted a buoykott (Deliberately misspelled to avoid removal (Dunno if its gonna help)) program for jio-nist organizations in response to another jenoside conducted in the P country. It really hit them hard and they had to make e low-class defending AD to control damage. Being a US-based channel they could not even pronounce the name of the jenosidal maniac illegal settlers. This is our win. I invite brothers from other countries to participate in this.",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@digital365degree5,Voycott coke,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@mdforhad3064,বয়কট কোকাকোলা,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@JaosdjxxXxxcv,korli tu...,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@creathope8261,lets boycote the coca cola.,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@asheefislam3015,All eyes on Rafah !,2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@primalfromstar,Sabe oque seria legal gravar músicas nas garrafas como num Vinil e criar um tipo gramophone para ler as músicas.,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Simonesanderss,The Kiffness x Mr. Coca Cola / Faisan (Live Looping Remix) you guys should pay this guy for the good advertising 😄👍👍 now I have Coca Cola in playing in my mind,0
